player_id,name,position,team,opponent,salary,projection,ceiling,floor,ownership,confidence,matchup_rating,matchup_label,fantasy_points_allowed,game_total,team_implied_total,opponent_implied_total,team_spread,moneyline,is_home,commence_time,usage_games,passing_attempts,carries,targets,receptions,passing_yards,rushing_yards,receiving_yards,recent_fantasy_points,usage_opportunity,usage_adjustment,matchup_adjustment,vegas_adjustment,home_adjustment,spread_adjustment,locked,excluded,value,leverage
11,Amon-Ra St. Brown,WR,DET,CHI,8100,21.0,29.82,12.18,16.9,78.8,59,Neutral,19.08,45.5,26.0,19.5,-6.5,-220,False,2026-09-13T17:00:00Z,3,0,0,10,8,0.0,0.0,89.6,18.6,20.0,-0.54,0.32,0.63,0.0,0.2,False,False,2.593,1.764
12,Deebo Samuel,WR,SF,LAR,6900,17.3,24.57,10.03,14.9,73.8,61,Neutral,19.32,47.5,27.0,20.5,-6.5,-220,True,2026-09-13T17:00:00Z,3,0,0,11,9,0.0,0.0,100.8,16.1,22.0,-0.09,0.4,0.81,0.2,0.2,False,False,2.507,1.649
13,DeVonta Smith,WR,PHI,DAL,6400,16.7,23.71,9.69,15.4,79.4,62,Neutral,19.44,51.0,25.0,26.0,1.0,170,False,2026-09-13T17:00:00Z,3,0,1,6,4,0.0,4.4,44.8,16.7,13.5,0.19,0.43,0.45,0.0,-0.03,False,False,2.609,1.54
14,Midrange Receiver,WR,BUF,MIA,5600,14.9,21.16,8.64,15.0,75.9,71,Favorable,20.52,50.5,27.5,23.0,-4.5,-220,True,2026-09-13T17:00:00Z,3,0,0,7,5,0.0,0.0,56.0,16.1,14.0,0.63,0.76,0.9,0.2,0.14,False,False,2.661,1.411
15,Value Receiver,WR,KC,LV,4300,12.2,17.32,7.08,13.8,71.8,55,Neutral,18.6,48.5,28.0,20.5,-7.5,-220,False,2026-09-13T17:00:00Z,3,0,0,8,6,0.0,0.0,67.2,14.6,16.0,1.08,0.18,0.99,0.0,0.22,False,False,2.837,1.255
16,Punt Receiver,WR,ARI,SEA,3500,9.4,13.35,5.45,7.0,67.5,54,Neutral,18.48,46.0,21.5,24.5,3.0,170,True,2026-09-13T17:00:00Z,3,0,1,9,7,0.0,4.4,78.4,7.0,19.5,-0.56,0.14,-0.18,0.2,-0.09,False,False,2.686,1.907
17,Travis Kelce,TE,KC,LV,7000,17.0,24.14,9.86,10.6,79.6,61,Neutral,19.32,48.5,28.0,20.5,-7.5,-220,False,2026-09-13T17:00:00Z,3,0,0,10,8,0.0,0.0,89.6,15.8,20.0,-0.12,0.4,0.99,0.0,0.22,False,False,2.429,2.277
18,Sam LaPorta,TE,DET,CHI,6200,15.5,22.01,8.99,10.4,76.4,59,Neutral,19.08,45.5,26.0,19.5,-6.5,-220,True,2026-09-13T17:00:00Z,3,0,0,11,9,0.0,0.0,100.8,15.5,22.0,0.33,0.32,0.63,0.2,0.2,False,False,2.5,2.116
19,Value Tight End,TE,GB,MIN,3900,10.5,14.91,6.09,7.3,70.4,56,Neutral,18.72,49.0,25.0,24.0,-1.0,-220,False,2026-09-13T17:00:00Z,3,0,0,6,4,0.0,0.0,44.8,11.7,12.0,0.6,0.22,0.45,0.0,0.03,False,False,2.692,2.042
20,Bills DST,DST,BUF,MIA,3600,8.4,13.86,2.52,3.6,66.7,68,Favorable,20.16,50.5,27.5,23.0,-4.5,-220,True,2026-09-13T17:00:00Z,3,0,0,0,0,0.0,0.0,0.0,10.8,0.0,0.84,0.65,0.9,0.2,0.14,False,False,2.333,3.85
21,49ers DST,DST,SF,LAR,3400,8.0,13.2,2.4,2.5,72.4,67,Favorable,20.04,47.5,27.0,20.5,-6.5,-220,False,2026-09-13T17:00:00Z,3,0,0,0,0,0.0,0.0,0.0,5.6,0.0,-0.84,0.61,0.81,0.0,0.2,False,False,2.353,5.28
22,Value DST,DST,ARI,SEA,2500,6.2,10.23,1.86,2.5,69.0,51,Neutral,18.12,46.0,21.5,24.5,3.0,170,True,2026-09-13T17:00:00Z,3,0,0,0,0,0.0,0.0,0.0,5.0,0.0,-0.42,0.04,-0.18,0.2,-0.09,False,False,2.48,4.092
